Designator,Mid X,Mid Y,Rotation,Layer
D1,172.73,-85.5,0.0,top
D2,181.23,-85.5,0.0,top
D3,189.73,-85.5,0.0,top
D4,198.23,-85.5,0.0,top
D5,206.77,-85.5,0.0,top
D6,215.23,-85.5,0.0,top
D7,223.73,-85.5,0.0,top
D8,232.23,-85.5,0.0,top
J1,161.655,-79.5,270.0,top
R1,216.69,-78.0,0.0,top
R2,196.69,-78.0,0.0,top
R3,165.0,-91.5,180.0,top
SW1,206.25,-72.25,0.0,top
SW2,226.75,-72.25,0.0,top
U1,180.31,-72.31,90.0,top
